Name,Position,Club,Division,Nation,Height,Weight,Age,Preferred_Foot,Best_Pos,Best_Role,Value,Wage,CA,PA,Wor,Vis,Tec,Tea,Tck,Str,Sta,TRO,Ref,Pen,Pas,Pac,v1,OtB,Mar,L_Th,Lon,Ldr,Jum,Hea,Han,Fla,Fir,Fin,Dri,Cro,Cor,Cnt,Cmd,Agi,Agg,Aer,Acc
Jeremy Kyezu,D/WB (L),Tottenham,English Premier Division,ENG,172,56,15,Left,D (L),WB,12750,120,50,92,14,7,8,7,5,4,14,2,3,1,6,12,1,1,7,1,5,1,6,4,3,8,6,6,6,6,3,6,1,13,10,2,9
Jonathan Dinzeyi,D (C),Arsenal,English Premier Division,ENG,188,83,19,Right Only,D (C),CD,54000,1300,65,92,9,6,4,8,9,11,6,4,3,3,8,13,1,6,15,5,4,1,15,8,1,1,9,5,3,4,6,7,3,6,10,3,14
Leonardo Raggio,D (C),Genoa,Italian Serie A,ITA,189,79,17,Right,D (C),CD,27000,220,66,92,6,3,2,5,13,9,8,3,2,1,6,10,1,4,13,1,3,6,13,13,2,1,6,1,1,1,5,6,2,6,10,3,11
Lewis Brunt,M (C),Aston Villa,English Premier Division,ENG,180,72,18,Right,M (C),CM,40000,500,75,92,12,12,12,7,10,5,11,2,1,2,9,10,1,12,4,1,8,10,6,8,3,5,13,4,8,4,6,7,4,9,12,3,13
Matias Martinez,M (C),Verona,Italian Serie A,SUI,184,76,19,Right Only,M (C),CM,21500,475,55,92,12,10,9,8,6,6,8,2,1,6,9,13,1,5,4,2,8,2,11,1,3,2,13,7,2,2,6,7,1,10,13,1,9
Matteo Ritaccio,"DM, M (C), AM (LC)",Liverpool,English Premier Division,USA,176,61,17,Left,M (C),MEZ,18500,120,53,92,12,7,13,7,7,4,7,2,1,1,6,7,1,9,7,3,6,4,4,5,3,13,13,6,9,6,3,4,2,11,11,1,11
Matthew Hall,GK,Southampton,English Premier Division,ENG,184,70,16,Right,GK,G,11250,120,50,92,5,5,1,6,1,5,1,4,5,2,7,7,1,2,1,1,2,1,8,1,6,1,1,2,2,1,3,8,7,11,5,14,8
Mattia Mirarchi,M/AM (C),Inter,Italian Serie A,ITA,184,66,16,Right Only,M (C),MEZ,21500,220,63,92,12,9,12,8,8,5,9,2,3,4,8,14,1,8,4,4,7,1,12,5,3,11,14,8,3,5,6,3,3,12,7,4,13
Mattia Paloschi,GK,Milan,Italian Serie A,ITA,193,79,17,Right,GK,G,13500,220,58,92,5,5,2,6,2,5,1,9,12,3,6,8,1,3,2,1,1,2,13,1,13,2,1,1,2,3,1,11,11,9,5,12,4
Mattia Sangalli,"DM, M (C)",Inter,Italian Serie A,ITA,181,70,17,Right,M (C),CM,32500,220,67,92,10,6,10,6,12,6,5,3,3,1,7,11,1,4,8,1,8,9,9,5,3,2,12,6,3,5,3,6,2,12,8,1,13
Maxi,GK,Valladolid,Spanish First Division,ESP,186,73,17,Right Only,GK,SK,425,55,36,92,4,4,4,5,3,4,3,12,13,1,4,5,1,2,1,3,2,11,9,1,10,2,4,3,2,1,4,9,7,11,3,7,9
Maximilian Maier,"DM, M (C)",SC Freiburg,Bundesliga,GER,182,74,18,Right,DM,DLP,40500,425,74,92,13,10,11,8,11,7,9,4,3,1,10,12,1,8,9,4,9,6,6,7,4,1,13,7,2,6,7,9,2,12,5,3,9
Michele Foschi,"DM, M (C)",Torino,Italian Serie A,ITA,170,57,17,Right,M (C),CM,4800,220,45,92,11,4,12,6,9,1,6,3,2,3,8,13,1,2,8,1,5,9,1,4,2,1,13,1,1,4,4,6,2,13,1,1,13
Owen Dodgson,D (L),Burnley,English Premier Division,ENG,175,61,16,Left,D (L),FB,24000,475,56,92,7,6,7,7,11,4,9,1,2,1,3,14,1,6,7,5,3,8,5,7,1,4,8,1,4,2,2,7,2,13,17,1,14
Riccardo Ladinetti,"DM, M (C)",Cagliari,Italian Serie A,ITA,184,74,18,Right,M (C),CAR,27000,475,65,92,13,9,11,9,6,8,13,2,1,4,11,11,1,7,8,3,8,2,8,3,2,4,7,7,4,4,7,5,3,9,14,3,14
Simone Oppizzi,M (C),Inter,Italian Serie A,ITA,184,68,16,Either,M (C),CM,9500,220,45,92,11,8,8,6,3,3,6,3,4,1,13,10,1,3,3,1,6,4,7,4,3,3,8,2,5,4,2,3,2,10,8,1,12
Tom Solanke,"D (C), DM, M (C)",West Brom,English Premier Division,ENG,189,77,18,Right,M (C),CM,17750,400,63,92,11,7,7,7,13,5,7,3,1,2,8,9,1,6,7,5,7,8,9,7,2,1,8,3,1,4,3,7,2,8,6,2,8
Tommaso Bacherotti,ST (C),Genoa,Italian Serie A,ITA,174,63,16,Right Only,ST (C),P,10000,220,45,92,5,3,12,4,1,5,7,3,3,6,5,10,1,13,2,1,5,5,6,12,3,12,9,8,13,4,4,3,3,9,11,1,12
Zidane Iqbal,"M (C), AM (LC)",Man Utd,English Premier Division,ENG,179,62,16,Right,M (C),MEZ,21500,120,55,92,12,12,10,8,5,4,7,2,1,4,12,10,1,6,6,1,8,3,8,1,3,18,10,7,12,7,6,7,3,11,16,1,12
Abdouramane Diaby,D (C),Roma,Italian Serie A,ITA,176,58,15,Right,D (C),CD,3600,220,45,91,5,1,4,4,13,3,3,3,2,1,5,12,1,3,13,1,1,10,5,7,3,1,5,2,1,1,4,7,3,8,10,3,8
Adam Bamba,ST (C),Genoa,Italian Serie A,CIV,184,68,16,Right,ST (C),AF,28500,220,65,91,7,6,10,6,3,6,9,1,2,7,3,12,1,8,3,1,5,7,8,11,1,11,14,14,14,5,2,5,3,10,12,3,14
Alessandro Bianco,M (C),Fiorentina,Italian Serie A,ITA,161,55,17,Right Only,M (C),CM,12250,220,55,91,12,14,12,8,7,1,7,2,3,6,14,8,1,6,10,1,8,9,2,6,1,1,14,6,4,3,6,6,2,9,11,2,11
Alessio Chiodi,M (C),Sampdoria,Italian Serie A,ITA,173,59,16,Right Only,M (C),CM,9500,220,45,91,10,12,11,5,4,3,11,3,1,1,12,9,1,5,5,3,7,1,6,3,2,1,8,3,1,1,3,2,1,10,14,1,12
Andrea Multari,M (C),Verona,Italian Serie A,ITA,172,61,16,Right Only,M (C),CM,9500,220,45,91,8,4,12,5,7,5,10,2,1,1,9,11,1,6,5,3,9,5,6,4,1,1,13,5,5,4,3,3,3,9,9,3,12
Cherinet Sartori,WB/M/AM (R),Sassuolo,Italian Serie A,ITA,163,55,17,Right Only,M (R),W,14000,220,54,91,7,6,13,6,7,1,7,2,1,3,6,12,1,6,3,4,6,5,1,1,1,13,9,6,9,11,8,3,1,13,8,1,13
Davide Rufino,ST (C),Udinese,Italian Serie A,ITA,187,70,16,Left Only,ST (C),P,4000,220,45,91,4,3,6,3,1,5,6,2,1,3,4,12,1,12,3,1,2,5,6,10,2,9,10,9,11,1,3,2,3,12,10,3,12
Demis Maugeri,M (C),Torino,Italian Serie A,ITA,177,58,15,Right Only,M (C),CM,4800,220,45,91,10,13,7,6,6,3,5,1,3,1,13,12,1,3,4,1,12,9,7,4,3,1,7,5,4,4,4,5,3,10,5,2,12
Diego Armando Casalini,ST (C),Verona,Italian Serie A,ITA,182,68,16,Right Only,ST (C),P,10000,220,45,91,5,4,7,4,1,6,3,2,2,5,4,12,1,13,4,1,4,3,7,13,1,7,12,13,13,1,4,2,2,12,9,3,8
Emanuele Marcaletti,D (C),Atalanta,Italian Serie A,ITA,189,75,17,Right Only,D (C),CD,9000,220,50,91,6,1,5,5,9,5,5,1,3,1,3,10,1,2,7,1,5,9,12,7,2,1,5,4,1,1,1,5,3,11,7,3,13
Emmanuel Longelo,"M (RL), AM (RLC)",West Ham,English Premier Division,ENG,189,76,18,Left,AM (L),W,83000,350,75,91,9,8,8,7,8,9,12,3,1,5,6,14,1,7,6,7,3,6,9,1,4,11,8,9,10,8,7,7,3,12,8,1,14
Federico Casolari,M (C),Sassuolo,Italian Serie A,ITA,166,55,16,Left Only,M (C),CM,3800,220,45,91,12,8,14,7,7,1,11,4,1,3,13,12,1,4,4,1,4,9,3,5,3,1,14,6,2,5,5,2,2,10,10,2,12
Federico Panza,D (C),Crotone,Italian Serie A,ITA,185,74,17,Right Only,D (C),CD,27000,220,60,91,6,4,5,5,13,6,6,3,2,4,6,8,1,3,12,1,5,9,12,5,2,1,6,2,1,5,3,7,1,11,9,3,8
Francesco Rillo,D/WB/M (L),Benevento,Italian Serie A,ITA,179,66,19,Left,D (L),FB,53000,475,75,91,9,8,9,9,10,5,6,3,2,2,9,14,1,5,9,7,1,10,9,7,1,8,8,6,7,9,6,12,2,14,8,2,14
Gabriele Zappalà,GK,Lazio,Italian Serie A,ITA,194,76,16,Right Only,GK,G,7500,220,50,91,5,5,4,6,1,5,2,1,9,2,9,12,1,2,1,1,2,8,13,1,12,3,2,1,2,3,1,6,7,12,14,11,13
Gianluca Bova,GK,Sampdoria,Italian Serie A,ITA,183,68,16,Right,GK,SK,9750,220,49,91,4,4,1,5,2,3,1,9,13,3,3,9,1,2,3,2,2,9,7,1,12,1,1,3,1,1,5,12,8,7,9,4,5
Gioacchino Maione,GK,Napoli,Italian Serie A,ITA,192,76,17,Right Only,GK,G,28500,220,69,91,5,5,1,6,3,5,3,12,12,1,9,11,1,1,1,2,3,5,13,1,13,2,1,3,3,3,4,8,6,7,12,13,9
Gioele Cirillo,D (L),Napoli,Italian Serie A,ITA,177,61,15,Left,D (L),FB,8500,220,45,91,6,4,6,6,12,5,9,3,3,1,5,11,1,1,7,5,5,11,9,6,3,3,7,1,4,5,2,9,2,8,13,3,13
Ibrahima Faye,"AM (C), ST (C)",Atalanta,Italian Serie A,SEN,180,63,17,Right,AM (C),SS,13000,220,53,91,7,9,7,6,6,4,5,3,1,4,9,12,1,10,3,3,5,10,10,8,1,7,11,10,12,4,4,6,3,12,20,2,13
Jack Stainrod,ST (C),Sheff Utd,English Premier Division,ENG,186,72,17,Right,ST (C),AF,19500,120,53,91,5,5,9,4,1,5,7,3,2,1,5,12,1,12,1,1,2,6,11,12,1,10,12,7,10,2,4,3,2,11,6,3,12
Jacopo Gianelli,"M (RC), AM (R)",Inter,Italian Serie A,ITA,176,68,18,Right,M (R),W,42000,220,72,91,9,11,12,7,8,5,7,1,3,1,13,14,1,11,6,7,9,6,9,7,1,11,11,6,9,8,6,8,1,13,10,2,14
Jaden Forrester,M (L),Wolves,English Premier Division,ENG,177,61,16,Left,M (L),W,9500,120,50,91,9,9,13,7,1,3,6,2,3,4,6,12,1,6,4,5,5,6,4,5,3,5,8,2,5,10,6,5,3,12,13,2,13
Johnson Gyamfi,"M (RL), AM (R)",Leicester,English Premier Division,ENG,170,59,17,Right Only,AM (R),W,15000,120,50,91,7,8,7,8,6,4,8,1,1,2,6,15,1,5,3,5,3,1,5,6,1,14,6,3,7,7,6,5,2,11,9,2,16
Jonathan Ngock Italeng,ST (C),Atalanta,Italian Serie A,CMR,186,74,17,Right,ST (C),P,22500,220,55,91,6,3,10,5,2,6,4,1,4,5,5,10,1,11,1,2,2,7,10,12,1,10,11,12,13,2,5,2,3,10,11,1,12
Leonardo Mariani,D (L),Fiorentina,Italian Serie A,ITA,183,71,17,Left,D (L),FB,12750,220,60,91,7,7,4,7,11,6,12,1,3,3,6,12,1,5,6,6,4,11,8,5,1,2,8,3,6,4,4,5,3,11,10,2,10
Leonardo Vespa,M/AM (L),Torino,Italian Serie A,ITA,181,60,15,Left Only,M (L),W,9500,220,45,91,11,6,13,6,3,3,7,3,1,3,13,12,1,3,1,4,5,11,9,1,1,13,11,2,12,12,10,2,3,12,4,1,10
Lukas Fahrnberger,M/AM (C),Eintracht Frankfurt,Bundesliga,AUT,174,67,18,Right,M (C),CM,39500,300,72,91,10,12,9,8,7,6,10,2,3,4,12,10,1,8,5,4,8,3,8,7,3,8,14,8,9,4,7,7,1,10,11,2,13
Matteo Eordea,AM (R),Torino,Italian Serie A,ITA,172,57,16,Right Only,AM (R),W,11000,220,48,91,11,6,7,6,5,3,9,3,1,2,7,12,1,8,1,4,5,9,4,2,1,8,12,4,13,8,4,5,1,13,12,2,12
Maximilian Göggel,"D (C), DM, M (C)",VfB Stuttgart,Bundesliga,GER,178,69,17,Right,D (C),CD,56000,55,79,91,10,11,10,8,10,8,6,3,1,6,11,11,1,8,13,4,7,3,11,12,3,1,9,8,6,8,5,8,2,10,13,3,10
Michel Ndary Adopo,M (C),Torino,Italian Serie A,FRA,178,68,18,Right,M (C),CM,45500,475,69,91,12,14,10,8,7,5,12,1,3,2,8,11,1,8,9,1,8,3,8,6,2,6,14,3,4,5,6,7,1,11,14,3,13
Nicola Pucci,M (C),Udinese,Italian Serie A,ITA,162,55,16,Right Only,M (C),CAR,12250,220,54,91,13,8,10,9,9,1,8,1,3,4,6,15,1,9,9,5,7,1,1,7,2,9,10,7,3,6,7,7,2,15,14,2,15
Nicolò Conti,DM,Spezia,Italian Serie A,ITA,196,79,18,Right Only,DM,A,6750,220,42,91,9,8,9,4,11,5,5,1,4,1,8,12,1,3,7,1,6,9,13,1,3,1,10,4,2,3,3,7,3,10,10,1,12
Nicolò Vaccarezza,GK,Sampdoria,Italian Serie A,ITA,186,66,16,Right Only,GK,SK,3600,220,45,91,3,3,1,4,1,2,2,13,12,1,4,10,1,2,3,2,2,4,7,1,12,2,3,1,3,1,6,3,10,14,11,9,11
Nicolas Boiga,ST (C),Sampdoria,Italian Serie A,ITA,175,64,16,Either,ST (C),P,13000,220,49,91,5,4,5,3,2,5,10,1,3,1,4,12,1,11,1,1,4,10,5,10,4,7,6,11,12,3,3,2,1,12,7,3,12
Nicolas Gerardi,GK,Inter,Italian Serie A,ITA,184,68,16,Right,GK,G,16750,220,60,91,5,5,2,6,3,6,3,7,13,2,9,10,1,1,2,2,2,9,8,1,13,2,1,3,3,1,1,12,7,9,10,9,12
Nicolo' Bellucci,D (C),Sassuolo,Italian Serie A,ITA,178,67,17,Right,D (C),CD,13500,220,55,91,7,7,6,8,9,6,7,3,3,6,7,10,1,6,7,9,6,9,9,8,1,7,7,5,5,5,5,8,2,9,9,2,9
Pio Leonardo Trezza,M/AM (L),Parma,Italian Serie A,ITA,172,62,17,Left,AM (L),W,6750,190,44,91,9,6,10,5,1,3,6,3,2,1,9,12,1,9,3,3,4,7,5,1,1,11,9,3,6,11,8,2,2,12,14,1,12
Rafferty Pedder,M (C),Tottenham,English Premier Division,ENG,195,80,17,Right,M (C),CM,28500,120,60,91,12,9,9,8,5,6,7,2,1,1,14,11,1,9,8,3,6,1,15,6,3,2,13,5,5,1,6,5,2,11,12,3,14
Redi Kasa,"AM (C), ST (C)",Parma,Italian Serie A,ALB,179,71,18,Left,ST (C),AF,5000,220,45,91,8,5,12,7,7,5,8,2,2,4,10,8,1,10,4,3,6,12,5,8,3,10,10,10,10,4,6,8,2,9,7,2,12
Roberto Maglione,M/AM (R),Genoa,Italian Serie A,ITA,179,70,17,Right,M (R),W,36000,220,70,91,11,8,11,7,6,4,7,3,1,1,10,13,1,5,4,2,7,4,4,2,2,11,9,7,8,13,9,7,1,13,9,3,13
Roberto Saputo,D (C),Bologna,Italian Serie A,ITA,186,74,18,Left,D (C),CD,25500,475,70,91,7,6,2,6,12,5,9,1,1,3,7,13,1,5,8,1,1,11,13,10,2,1,6,6,4,4,2,4,2,12,8,3,12
Salvatore Palma,ST (C),Sassuolo,Italian Serie A,ITA,178,66,16,Right Only,ST (C),P,10000,220,45,91,5,2,7,4,1,7,6,1,2,5,5,9,1,11,4,1,2,5,3,13,2,7,12,13,12,1,4,1,3,10,14,2,13
Sam Ackroyd,ST (C),Sheff Utd,English Premier Division,ENG,188,76,17,Right,ST (C),P,40000,120,65,91,6,4,10,5,2,8,6,2,4,5,4,12,1,13,1,4,6,6,9,12,1,10,9,11,13,2,3,4,1,9,10,1,13
Samuele Signori,ST (C),Atalanta,Italian Serie A,ITA,187,78,18,Right,ST (C),P,30000,220,66,91,6,5,12,4,4,7,11,1,1,7,5,10,1,12,3,1,5,10,11,9,3,13,12,12,12,1,2,2,2,9,12,2,12
Yannik Engelhardt,"D (C), DM, M (C)",SV Werder,Bundesliga,GER,193,80,18,Right,DM,BWM,53000,325,76,91,12,7,8,8,10,7,7,3,3,1,10,13,1,8,8,1,8,2,13,8,1,7,9,6,5,4,4,9,1,11,13,2,14
Zak Ruggiero,"AM (L), ST (C)",Crotone,Italian Serie A,ITA,174,65,18,Right Only,ST (C),PF,38000,220,64,91,10,11,9,12,5,7,10,4,3,9,9,11,1,8,4,2,9,9,8,6,1,11,11,7,9,8,12,8,3,9,10,3,12
Adrián Balboa,ST (C),Leeds,English Premier Division,ESP,181,70,21,Right,ST (C),P,41500,800,70,90,8,8,10,7,1,8,5,2,1,3,8,12,1,10,7,1,8,10,11,14,2,9,13,10,8,4,7,8,3,12,8,3,9
Alberto Panzani,ST (C),Inter,Italian Serie A,ITA,175,63,16,Right Only,ST (C),P,13000,220,48,90,5,5,8,4,1,6,7,2,3,7,3,11,1,6,4,1,3,8,5,9,1,8,11,13,11,5,2,2,1,11,8,3,12
Alfonso Sepe,"DM, M (C)",Sampdoria,Italian Serie A,ITA,182,65,16,Right Only,M (C),CM,2000,130,40,90,9,9,10,6,11,3,5,4,1,3,13,11,1,4,5,3,5,9,10,4,3,1,7,2,2,4,3,6,3,9,16,3,7
Andrea Marini,ST (C),Verona,Italian Serie A,ITA,185,72,16,Right,ST (C),P,10000,220,45,90,5,4,5,4,1,7,8,2,3,1,2,12,1,12,2,2,5,4,13,8,3,11,7,10,13,2,4,3,3,9,14,1,13
Bilel Sahli,M (C),Genoa,Italian Serie A,TUN,166,55,16,Right Only,M (C),CM,4800,220,45,90,10,10,10,6,6,1,6,1,3,1,13,12,1,7,6,4,3,5,3,4,3,8,12,5,3,2,4,4,3,8,8,4,13
Bobby Kamwa,M (RC),Leeds,English Premier Division,ENG,187,80,19,Right,M (C),MEZ,165000,250,84,90,12,10,11,10,6,10,12,1,3,8,10,13,1,10,4,4,11,4,10,5,3,14,11,10,12,10,6,7,2,13,8,1,12
Cameron Jessup,D (R),Crystal Palace,English Premier Division,ENG,188,73,16,Right,D (R),FB,4300,120,45,90,7,7,7,4,10,6,9,1,1,2,4,11,1,3,4,6,4,4,15,7,3,5,8,3,6,5,4,8,1,11,5,3,15
Cardo Siddik,D (C),Crystal Palace,English Premier Division,ENG,188,71,16,Right Only,D (C),CD,4500,120,45,90,4,1,3,3,10,6,2,1,2,1,4,12,1,3,12,1,1,3,12,12,1,1,2,1,1,1,1,7,3,11,15,1,9
Cole Gibbon,M (C),Leeds,English Premier Division,ENG,178,66,17,Right,M (C),CM,475,120,35,90,11,13,8,6,6,3,7,2,2,2,6,11,1,5,5,1,5,6,5,4,1,1,12,4,4,4,3,5,3,10,16,1,13
Connor Barrett,D (RC),Burnley,English Premier Division,ENG,178,70,17,Right,D (C),CD,15250,350,45,90,11,3,3,7,12,7,13,1,2,2,8,9,1,6,7,2,6,8,11,9,2,1,7,1,2,4,6,11,2,8,7,1,10
Corey Brennan,M (C),Burnley,English Premier Division,ENG,169,56,16,Right,M (C),CM,9500,120,45,90,11,8,9,7,10,1,8,2,2,1,9,9,1,6,9,1,5,7,5,3,1,1,14,3,3,5,5,5,3,7,14,3,11
Daniel Quick,D (RC),Crystal Palace,English Premier Division,ENG,189,75,17,Right,D (C),CD,4500,120,45,90,5,2,4,4,9,5,5,3,1,1,4,12,1,4,5,1,4,9,12,9,1,1,3,1,3,1,1,10,2,11,12,2,13
David Boateng,"D (R), DM, M (C)",Crystal Palace,English Premier Division,ENG,170,58,18,Right,DM,BWM,16500,500,54,90,17,8,10,10,10,6,10,1,2,1,10,12,1,6,6,2,6,9,3,5,2,1,8,1,6,5,4,3,1,9,7,2,13
Dean Pinnington,M (C),Wolves,English Premier Division,ENG,171,61,16,Right Only,M (C),CM,9500,120,45,90,13,7,11,8,7,5,9,3,1,4,15,6,1,6,9,1,7,7,7,2,2,2,12,7,6,4,2,7,3,7,11,2,5
Denis Miceli,D (L),Sampdoria,Italian Serie A,ITA,182,67,16,Left,D (L),FB,19000,220,52,90,7,7,4,7,9,6,7,3,3,1,6,14,1,1,4,6,5,8,10,7,3,1,8,1,4,2,1,4,3,14,15,1,14
Deon Woodman,D (C),Crystal Palace,English Premier Division,ENG,181,69,17,Right Only,D (C),NCB,4500,120,45,90,5,4,1,4,13,5,4,1,3,1,4,10,1,3,11,1,1,1,8,10,2,1,5,1,1,1,1,7,2,10,20,4,13
Dylan Thisleton,D/WB/M/AM (R),Crystal Palace,English Premier Division,ENG,176,60,16,Right Only,M (R),W,7500,120,45,90,6,5,5,5,6,3,7,1,2,1,8,13,1,12,5,1,3,6,8,1,1,5,6,1,5,6,4,4,3,13,7,3,13
Edoardo Fiorio,GK,Torino,Italian Serie A,ITA,187,71,17,Right Only,GK,SK,3800,220,45,90,4,4,1,5,3,3,1,10,13,3,6,10,1,3,3,3,3,1,13,1,9,2,1,2,3,3,2,6,9,7,11,11,12
Emanuele Capistrano,M (C),Torino,Italian Serie A,ITA,173,62,16,Right Only,M (C),CM,9500,220,45,90,11,13,9,6,3,5,8,2,3,1,13,12,1,3,4,2,9,9,6,3,2,1,12,3,2,4,4,5,1,12,20,4,11
Filippo Pozzani,"AM (L), ST (C)",Udinese,Italian Serie A,ITA,185,67,15,Left Only,ST (C),P,4000,220,45,90,7,3,12,3,3,5,8,3,2,7,5,11,1,6,2,2,3,5,12,9,3,12,13,14,12,8,5,2,4,11,13,1,10
Fran Pérez,M/AM (R),Valencia,Spanish First Division,ESP,186,68,16,Right,AM (R),W,25000,300,60,90,4,6,11,5,1,4,8,3,1,1,10,13,1,10,3,5,6,4,11,4,1,11,13,6,7,10,5,1,4,13,10,2,13
Francesco Solimeno,D (RC),Benevento,Italian Serie A,ITA,180,63,16,Right,D (R),FB,30500,220,62,90,6,3,4,5,12,3,5,2,1,1,4,13,1,5,13,5,2,1,6,9,2,1,6,1,3,2,5,9,2,13,9,3,13
Jack Hodnett,D/M (C),Wolves,English Premier Division,ENG,188,72,16,Left Only,M (C),CM,9500,120,45,90,8,7,8,6,6,5,13,3,2,1,9,8,1,5,4,5,6,5,13,6,1,1,12,3,3,7,3,6,2,12,11,1,6
Joe Oliver,"D/WB (R), DM",Newcastle,English Premier Division,ENG,177,63,16,Right,D (R),FB,6000,120,45,90,7,7,7,6,12,6,6,1,1,2,3,14,1,3,7,3,5,11,8,5,1,1,7,3,3,6,4,8,3,9,12,3,14
Joe White,D/WB (L),Bolton,English Premier Division,ENG,189,80,17,Left Only,D (L),FB,64000,120,75,90,11,11,10,10,10,11,11,3,2,5,10,11,1,10,10,9,5,9,16,9,2,7,10,5,9,9,5,11,2,12,11,1,11
Joel Connolly,D/WB (R),Burnley,English Premier Division,ENG,170,55,16,Right Only,D (R),WB,9500,120,45,90,6,7,6,6,5,2,12,2,1,1,2,14,1,4,6,4,1,12,2,5,2,3,9,1,7,5,1,4,4,13,7,1,13
Josh Chapman,GK,Sheff Utd,English Premier Division,ENG,183,65,16,Right Only,GK,G,7500,120,45,90,3,3,1,4,2,4,1,5,12,2,4,8,1,1,3,1,1,9,5,1,9,1,1,3,2,1,4,12,8,12,7,8,9
Josh Scott,M/AM (L),Newcastle,English Premier Division,ENG,177,61,16,Left,M (L),W,4600,120,45,90,7,7,12,6,7,4,7,3,2,3,8,11,1,5,2,4,6,11,8,2,3,11,7,6,6,8,4,7,1,10,5,1,9
Joshua Oluwayemi,GK,Tottenham,English Premier Division,ENG,183,70,18,Right,GK,SK,30000,350,65,90,6,4,3,6,3,5,3,9,14,3,10,8,1,2,2,3,3,5,8,1,11,2,1,3,3,3,3,9,9,8,3,10,13
Julen Zubillaga,"D (C), DM",Real Sociedad,Spanish First Division,ESP,180,70,18,Right Only,DM,BWM,400,15,30,90,9,5,5,4,12,4,5,1,3,1,7,10,1,1,7,1,2,1,6,5,1,2,4,3,4,3,2,8,1,10,13,1,12
Kamarai Simon-Swyer,AM (C),West Ham,English Premier Division,ENG,172,58,16,Right Only,AM (C),AM,5000,120,45,90,10,9,13,6,6,3,5,3,2,1,12,13,1,6,1,3,7,1,7,4,2,13,12,2,6,4,4,2,1,13,7,1,13
Lewis Bryon,"D (R), DM",Crystal Palace,English Premier Division,ENG,179,72,19,Right Only,DM,BWM,23500,350,60,90,11,8,8,7,11,7,7,2,1,1,11,12,1,5,6,1,7,11,8,7,2,1,9,2,7,2,3,5,1,10,10,2,13
Lorenzo Bellotti,ST (C),Spezia,Italian Serie A,ITA,183,76,18,Right Only,ST (C),P,25500,220,57,90,6,6,10,5,1,7,4,1,2,6,2,11,1,11,5,1,2,10,10,6,3,12,11,13,13,3,5,6,1,9,4,2,13
Marco Rus,AM (RC),Southampton,English Premier Division,ROU,179,65,16,Right Only,AM (R),W,30000,120,60,90,14,7,8,10,8,6,10,3,3,3,7,11,1,13,7,5,10,8,6,7,3,14,6,9,8,10,8,10,3,9,10,2,12
Matevz Dajcar,D (C),Atalanta,Italian Serie A,SVN,183,73,17,Right,D (C),CD,8000,220,46,90,5,1,1,4,11,6,6,1,4,1,5,6,1,3,5,3,1,1,11,13,3,1,2,1,1,1,3,7,1,8,20,3,4
Matteo De Rinaldis,M (C),Parma,Italian Serie A,ITA,170,55,16,Right Only,M (C),CM,9500,220,45,90,10,8,14,7,8,1,6,3,1,4,7,14,1,4,6,4,6,7,3,1,3,1,14,3,4,4,2,5,2,14,6,3,14
Matteo Lucanto,D (C),Crotone,Italian Serie A,ITA,179,68,17,Right Only,D (C),CD,9000,220,45,90,4,3,3,3,12,4,3,1,1,2,4,10,1,3,12,1,1,10,7,9,3,1,4,1,1,2,3,5,2,9,9,1,8
Max Hinke,GK,Eintracht Frankfurt,Bundesliga,GER,186,78,18,Right,GK,SK,33500,350,75,90,6,6,3,7,1,6,1,18,13,3,11,10,1,1,2,2,2,11,12,1,13,1,3,2,1,3,3,7,10,7,9,13,12
Mirko Mancino,ST (C),Lazio,Italian Serie A,ITA,170,55,16,Right Only,ST (C),P,5000,220,45,90,4,1,4,3,1,1,5,1,1,9,1,12,1,10,1,1,4,3,6,12,2,5,9,12,8,2,3,1,1,12,11,2,12
Mo Sylla,"D (C), DM, M (C)",Aston Villa,English Premier Division,ESP,180,65,16,Right Only,M (C),CM,12250,120,50,90,9,5,7,4,13,4,6,2,3,2,9,9,1,6,11,3,7,2,10,7,2,1,10,1,4,5,2,2,3,9,9,3,11
Noah Watson,D (L),Crystal Palace,English Premier Division,ENG,177,62,16,Left Only,D (L),FB,4300,120,45,90,7,4,7,7,11,5,5,1,1,4,7,10,1,2,6,4,5,1,11,7,2,5,11,6,3,3,5,7,1,13,13,2,10
Owen Bray,GK,Leeds,English Premier Division,IRL,185,68,16,Right,GK,SK,375,120,35,90,3,3,1,4,2,2,1,8,5,2,5,8,1,3,1,3,1,2,9,1,12,1,2,1,1,1,4,6,10,6,6,7,7
Patrick Enrici,D (L),Torino,Italian Serie A,ITA,180,75,18,Left,D (L),FB,34000,220,65,90,7,7,8,8,9,6,9,1,1,1,8,14,1,6,6,7,1,4,11,8,1,1,10,4,3,4,6,7,1,13,13,3,14
Rowan Smith,M (C),Crystal Palace,English Premier Division,ENG,176,62,16,Right Only,M (C),CM,4800,120,45,90,11,7,10,6,6,5,10,3,1,1,9,11,1,5,6,1,4,10,6,4,1,2,7,5,3,2,3,5,2,9,12,1,13
Ryan Grant,D (R),West Brom,English Premier Division,ENG,175,61,16,Right Only,D (R),FB,1600,120,30,90,6,6,6,6,10,5,7,3,3,1,6,14,1,5,5,5,2,4,5,6,1,5,4,1,4,4,4,5,1,14,12,1,13
